last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Bote, David,623520,127,3.5,27.6,114.0,93.5,96.6,91.9,442,155,421,67,52.8,14,11.0,6.7
Acuna Jr., Ronald,660670,313,12.9,34.2,114.0,90.8,95.3,87.1,452,181,410,146,46.6,42,13.4,8.6
Rua, Ryan,607387,89,13.2,30.3,114.0,89.3,94.6,86.1,399,174,387,36,40.4,9,10.1,6.1
Ohtani, Shohei,660271,225,12.3,35.6,113.9,92.6,97.8,88.0,449,180,413,113,50.2,36,16.0,9.8
Pederson, Joc,592626,314,15.4,30.6,113.9,91.1,94.6,89.4,437,191,391,126,40.1,26,8.3,5.9
Sandoval, Pablo,467055,179,9.3,32.4,113.9,89.6,94.3,87.6,447,159,392,66,36.9,9,5.0,3.6
Martinez, Jose,500874,435,8.0,37.5,113.8,90.7,94.1,87.9,436,170,404,192,44.1,41,9.4,6.9
Soto, Juan,665742,316,5.5,30.1,113.7,89.4,97.4,84.6,440,152,395,133,42.1,31,9.8,6.3
Renfroe, Hunter,592669,299,18.5,29.1,113.7,89.9,97.4,85.3,438,184,402,130,43.5,37,12.4,8.4
Baez, Javier,595879,444,9.2,33.6,113.7,89.6,96.9,84.5,481,174,404,192,43.2,56,12.6,8.7
Pence, Hunter,452254,178,5.7,28.1,113.6,88.0,91.5,86.7,445,141,417,59,33.1,9,5.1,3.6
Yelich, Christian,592885,441,4.7,36.7,113.6,92.3,97.2,89.0,441,160,407,224,50.8,57,12.9,8.8
Bader, Harrison,664056,260,12.5,34.6,113.6,86.0,91.6,81.7,431,177,403,80,30.8,18,6.9,4.2
Brinson, Lewis,621446,264,6.9,27.3,113.6,89.2,93.7,86.4,450,150,414,103,39.0,23,8.7,5.7
Santana, Carlos,467793,475,15.1,30.5,113.5,88.9,93.3,87.6,445,174,399,187,39.4,34,7.2,5.0
Cuthbert, Cheslor,596144,81,13.0,23.5,113.4,89.1,91.0,90.3,386,152,358,28,34.6,3,3.7,2.6
Cano, Robinson,429664,265,8.3,37.4,113.4,93.1,95.0,92.5,419,163,399,137,51.7,23,8.7,6.6
Engel, Adam,641553,308,12.5,27.6,113.4,84.8,91.7,80.2,423,170,399,99,32.1,8,2.6,1.7
Trumbo, Mark,444432,245,10.4,33.1,113.4,92.8,95.9,92.5,444,172,400,119,48.6,25,10.2,7.0
Valencia, Danny,502143,207,9.2,35.3,113.4,90.7,94.4,88.4,443,170,409,84,40.6,16,7.7,5.7
Ramos, Wilson,467092,304,4.4,34.2,113.3,91.3,95.4,89.2,447,150,396,144,47.4,23,7.6,5.5
Anderson, Brian,605119,463,8.7,29.2,113.3,90.2,93.0,89.6,434,149,398,196,42.3,27,5.8,4.0
Olson, Matt,621566,419,17.8,35.1,113.3,93.1,97.4,90.3,475,189,408,218,52.0,51,12.2,7.7
Williams, Nick,608384,296,10.3,37.2,113.3,88.5,90.6,87.5,439,174,401,109,36.8,20,6.8,4.5
Solarte, Yangervis,500208,400,13.9,30.0,113.2,87.0,90.7,85.6,459,161,403,128,32.0,18,4.5,3.6
Gomez, Carlos,460576,259,18.2,33.2,113.2,85.0,89.8,82.1,424,178,399,77,29.7,13,5.0,3.2
Moncada, Yoan,660162,365,15.1,36.4,113.1,90.6,94.2,87.1,433,191,397,161,44.1,35,9.6,5.4
O'Neill, Tyler,641933,75,22.2,33.3,113.1,92.1,97.4,86.1,457,228,412,34,45.3,17,22.7,12.0
Goldschmidt, Paul,502671,420,15.7,37.1,112.9,90.8,95.9,87.0,450,191,400,185,44.0,57,13.6,8.3
Austin, Tyler,592122,152,15.1,37.5,112.9,89.0,95.9,80.5,451,189,402,66,43.4,24,15.8,9.0
Bellinger, Cody,641355,409,16.1,32.0,112.9,89.7,95.4,86.4,443,183,405,156,38.1,35,8.6,5.5
Martin, Leonys,547982,243,16.2,34.6,112.9,86.8,92.4,82.4,421,188,392,94,38.7,26,10.7,7.4
Dozier, Hunter,641531,254,13.1,33.1,112.9,89.5,93.7,86.0,439,182,401,102,40.2,27,10.6,7.0
Myers, Wil,571976,219,9.2,38.8,112.9,90.3,95.5,85.7,450,171,402,100,45.7,16,7.3,4.7
Caratini, Victor,605170,142,5.9,29.6,112.9,87.8,94.2,84.7,419,143,407,53,37.3,5,3.5,2.5
Diaz, Aledmys,649557,364,13.6,32.7,112.9,89.0,93.1,86.8,431,176,392,142,39.0,27,7.4,6.0
Margot, Manuel,622534,397,11.4,34.0,112.9,88.7,92.8,87.3,424,168,396,145,36.5,13,3.3,2.5
Polanco, Gregory,570256,351,19.9,34.2,112.9,88.6,93.6,86.0,440,191,401,134,38.2,33,9.4,6.2
Suarez, Eugenio,553993,391,14.7,38.6,112.8,91.2,93.0,89.8,451,192,400,178,45.5,38,9.7,6.3
Davis, Khris,501981,408,18.1,38.0,112.8,92.5,97.2,87.7,439,211,405,194,47.5,70,17.2,10.7
Correa, Carlos,621043,302,11.6,33.1,112.8,88.2,93.7,84.5,455,164,402,101,33.4,21,7.0,4.5
Haniger, Mitch,571745,455,12.7,36.5,112.8,90.2,94.2,87.4,443,174,400,195,42.9,47,10.3,6.9
Kepler, Max,596146,439,16.2,30.5,112.7,89.5,93.8,86.0,427,189,395,165,37.6,29,6.6,4.7
Candelario, Jeimer,600869,384,15.3,32.0,112.7,87.1,91.8,85.2,440,174,398,128,33.3,23,6.0,3.7
Rizzo, Anthony,519203,495,14.4,36.2,112.6,89.9,93.1,87.9,453,184,404,199,40.2,31,6.3,4.7
Odor, Rougned,596059,354,11.7,30.5,112.6,87.8,95.1,81.9,447,178,403,135,38.1,25,7.1,4.7
Morrison, Logan,489149,239,19.6,36.4,112.6,88.1,94.5,82.5,442,200,406,89,37.2,26,10.9,7.2
Santander, Anthony,623993,80,15.3,23.8,112.5,87.3,90.7,87.2,408,161,402,21,26.3,4,5.0,3.7
Story, Trevor,596115,434,15.7,38.2,112.5,90.8,95.0,86.8,505,201,422,199,45.9,55,12.7,8.4
Anderson, Tim,641313,423,10.5,33.3,112.5,85.6,90.6,81.7,414,161,384,118,27.9,20,4.7,3.3
Cain, Lorenzo,456715,447,4.9,30.9,112.4,89.1,91.0,88.6,431,139,402,181,40.5,15,3.4,2.4
Conforto, Michael,624424,388,11.9,36.3,112.4,87.9,93.5,83.6,472,173,395,142,36.6,37,9.5,5.8
Bradley Jr., Jackie,598265,341,12.0,35.2,112.4,91.9,96.4,88.1,438,178,401,171,50.1,35,10.3,6.5
Altuve, Jose,514888,459,9.5,34.0,112.4,86.3,92.3,81.3,443,159,399,155,33.8,27,5.9,4.5
Dixon, Brandon,641525,75,10.6,29.3,112.4,89.0,95.1,83.9,436,171,409,30,40.0,7,9.3,5.6
Pinder, Chad,640461,212,13.3,37.3,112.3,90.2,95.8,85.6,424,187,403,90,42.5,30,14.2,9.0
Voit, Luke,572228,100,15.3,46.0,112.3,93.0,96.5,87.8,430,210,393,54,54.0,20,20.0,12.4
Jones, JaCoby,592444,289,12.0,35.6,112.3,88.0,92.6,85.1,422,175,385,103,35.6,17,5.9,3.6
Vogelbach, Daniel,596129,61,10.1,36.1,112.3,92.4,97.4,88.2,433,179,403,32,52.5,7,11.5,6.9
Alonso, Yonder,475174,398,15.6,37.4,112.3,87.7,92.6,85.2,431,181,399,147,36.9,40,10.1,7.0
Turner, Trea,607208,534,8.3,29.0,112.3,87.8,92.5,84.9,427,158,396,206,38.6,31,5.8,4.2
Hosmer, Eric,543333,472,-1.2,27.3,112.2,88.8,95.1,86.2,439,118,400,179,37.9,30,6.4,4.4
Profar, Jurickson,595777,440,12.3,33.6,112.2,87.3,91.7,84.5,436,168,403,140,31.8,22,5.0,3.7
Encarnacion, Edwin,429665,375,18.1,35.2,112.2,89.9,94.3,85.9,434,192,401,154,41.1,44,11.7,7.6
Hernandez, Teoscar,606192,316,17.0,34.8,112.2,91.8,97.7,85.3,440,201,401,145,45.9,49,15.5,9.4
Wisdom, Patrick,621550,31,17.0,38.7,112.2,90.5,97.8,87.7,427,194,406,13,41.9,4,12.9,6.9
O'Brien, Peter,598284,45,16.5,44.4,112.2,92.1,96.6,83.8,406,217,381,23,51.1,7,15.6,9.5
Diaz, Elias,553869,215,10.4,35.3,112.2,89.6,91.6,90.0,420,163,396,87,40.5,14,6.5,5.1
Moustakas, Mike,519058,476,19.6,31.3,112.2,89.3,92.9,88.6,438,188,398,186,39.1,42,8.8,6.6
Perez, Salvador,521692,407,18.0,35.4,112.1,91.2,94.3,89.0,454,203,398,193,47.4,44,10.8,8.1
Pham, Tommy,502054,357,6.7,38.7,112.1,92.8,95.3,91.4,454,171,407,178,49.9,36,10.1,6.3
Pujols, Albert,405395,403,14.1,34.5,112.1,90.0,93.6,88.8,430,179,399,164,40.7,25,6.2,5.0
Pirela, Jose,517369,351,4.7,25.6,112.1,89.0,91.3,89.3,424,132,408,129,36.8,12,3.4,2.5
Desmond, Ian,435622,414,0.0,28.5,112.0,89.9,95.8,87.3,472,130,405,179,43.2,29,7.0,4.7
Hoskins, Rhys,656555,413,22.4,36.1,112.0,88.9,94.3,82.8,444,212,393,161,39.0,47,11.4,7.1
Marte, Starling,516782,454,8.2,31.5,112.0,87.5,94.2,83.6,453,159,398,173,38.1,34,7.5,5.6
Miller, Brad,543543,150,10.9,37.3,112.0,90.8,94.6,87.0,436,192,414,74,49.3,16,10.7,6.3
Herrera, Rosell,594011,224,2.2,32.6,112.0,87.1,91.0,84.7,414,136,342,73,32.6,5,2.2,1.7
Seager, Corey,608369,85,9.6,38.8,112.0,91.5,95.3,87.3,440,189,412,35,41.2,7,8.2,6.1
Healy, Ryon,592387,382,12.1,32.2,112.0,89.4,93.2,87.8,441,165,401,159,41.6,27,7.1,5.2
Bogaerts, Xander,593428,417,12.7,32.9,111.9,90.5,95.1,87.8,436,169,407,173,41.5,41,9.8,7.1
Nunez, Renato,600524,176,16.0,28.4,111.9,88.9,92.7,88.6,425,174,397,64,36.4,15,8.5,5.7
Perez, Roberto,547379,118,5.3,28.0,111.9,86.2,94.2,80.8,407,158,404,49,41.5,7,5.9,3.3
Laureano, Ramon,657656,108,10.3,34.3,111.9,89.8,93.9,86.4,441,172,403,45,41.7,12,11.1,6.8
Bautista, Jose,430832,215,19.3,35.3,111.9,90.8,95.3,88.5,429,193,393,92,42.8,17,7.9,4.3
Zimmer, Bradley,605548,62,6.1,35.5,111.9,86.7,93.6,83.1,417,147,417,26,41.9,5,8.1,4.4
Adduci, Jim,451192,134,10.5,26.1,111.8,85.2,90.0,83.4,424,156,384,35,26.1,5,3.7,2.7
Davis, Chris,448801,282,14.7,35.5,111.8,89.0,94.5,83.0,434,189,403,113,40.1,29,10.3,5.6
Davis, J.D.,605204,74,8.8,27.0,111.8,88.5,94.3,85.2,392,154,381,26,35.1,6,8.1,5.3
Smith Jr, Dwight,596105,53,8.0,34.0,111.8,87.0,92.0,83.6,388,168,346,13,24.5,2,3.8,2.7
Gattis, Evan,594828,314,17.8,31.2,111.8,87.6,92.1,83.6,430,185,389,106,33.8,24,7.6,5.3
Wieters, Matt,446308,193,18.3,32.6,111.8,86.9,92.2,82.8,405,188,389,65,33.7,9,4.7,3.3
Sierra, Moises,501213,36,4.9,16.7,111.8,88.6,90.6,87.4,427,133,,11,30.6,3,8.3,5.0
Segura, Jean,516416,526,7.4,30.2,111.7,87.0,90.2,85.7,420,145,398,168,31.9,19,3.6,3.0
Marisnick, Jake,545350,131,17.6,35.1,111.7,84.9,90.7,77.7,428,192,401,41,31.3,11,8.4,4.7
Plawecki, Kevin,608700,175,10.9,28.0,111.6,86.7,91.1,84.8,410,161,390,62,35.4,8,4.6,2.9
Santana, Domingo,570267,137,11.5,36.5,111.6,89.0,92.5,86.1,429,169,391,53,38.7,14,10.2,6.0
Morales, Kendrys,434778,323,9.9,34.1,111.6,92.4,95.3,90.5,437,180,395,170,52.6,39,12.1,8.3
Diaz, Yandy,650490,90,4.4,32.2,111.6,92.1,93.6,91.7,386,138,386,40,44.4,4,4.4,3.3
Piscotty, Stephen,572039,437,13.1,34.6,111.6,88.6,93.4,84.4,443,174,394,169,38.7,42,9.6,6.9
Gonzalez, Erik,570481,102,3.4,31.4,111.5,89.6,90.5,89.9,412,140,412,43,42.2,3,2.9,2.1
Travis, Devon,581527,293,7.8,31.7,111.5,88.3,92.0,87.0,428,147,393,108,36.9,15,5.1,4.0
Taylor, Chris,621035,362,16.4,40.6,111.5,88.6,92.5,84.2,440,196,399,138,38.1,31,8.6,5.1
Fisher, Derek,605233,39,3.0,43.6,111.4,92.3,98.4,87.6,447,162,402,18,46.2,5,12.8,5.8
Kemp, Matt,461314,354,15.8,44.1,111.4,89.6,94.1,83.9,427,195,409,136,38.4,40,11.3,7.9
Dickerson, Corey,572816,427,14.8,37.7,111.4,87.8,91.8,84.2,447,183,400,135,31.6,26,6.1,4.9
Cave, Jake,595909,186,10.0,41.4,111.4,88.4,93.7,82.2,443,186,419,71,38.2,27,14.5,8.7
McCann, James,543510,313,16.0,37.7,111.4,87.5,91.5,86.3,437,177,394,116,37.1,16,5.1,3.5
Romine, Austin,519222,179,9.4,33.5,111.4,88.0,91.9,86.4,440,154,389,68,38.0,9,5.0,3.4
Guzman, Ronald,608597,267,14.3,33.3,111.3,86.6,90.2,84.4,443,178,386,88,33.0,17,6.4,4.0
Munoz, Yairo,622168,224,4.5,31.3,111.2,87.2,93.4,82.6,411,148,390,66,29.5,9,4.0,2.7
Beckham, Tim,542921,272,9.4,31.6,111.2,86.6,92.2,82.6,431,158,405,97,35.7,16,5.9,4.0
Tucker, Preston,605512,124,11.5,28.2,111.2,90.4,91.8,90.7,442,162,398,49,39.5,5,4.0,2.7
Hicks, John,543308,206,13.8,33.0,111.2,87.2,92.1,84.5,426,176,397,71,34.5,12,5.8,3.8
Schoop, Jonathan,570731,363,11.2,30.9,111.2,86.2,90.0,84.8,446,156,393,111,30.6,18,5.0,3.6
Pillar, Kevin,607680,420,16.5,39.3,111.1,87.1,90.9,85.0,440,181,390,153,36.4,24,5.7,4.4
Schebler, Scott,594988,283,8.6,32.9,111.1,90.2,94.1,88.0,449,161,406,120,42.4,30,10.6,7.0
Dietrich, Derek,518618,361,15.7,34.1,111.0,87.4,90.8,86.2,448,170,396,136,37.7,22,6.1,4.0
Grandal, Yasmani,518735,319,14.0,33.2,111.0,88.9,94.5,84.5,429,187,404,128,40.1,38,11.9,7.3
Garver, Mitch,641598,232,12.5,31.5,111.0,88.8,93.6,85.8,421,174,408,90,38.8,13,5.6,3.9
Maybin, Cameron,457727,269,7.5,34.6,111.0,86.4,90.7,83.5,429,153,415,89,33.1,11,4.1,2.9
Maxwell, Bruce,622194,43,4.2,37.2,111.0,88.6,94.0,85.3,417,167,417,14,32.6,2,4.7,3.4
Lowe, Brandon,664040,92,13.9,31.5,111.0,89.3,95.3,83.8,411,175,383,40,43.5,10,10.9,6.8
Freese, David,501896,211,7.2,34.6,110.9,90.3,93.1,88.8,433,160,391,95,45.0,19,9.0,6.1
McCutchen, Andrew,457705,431,13.4,36.4,110.9,90.1,94.2,86.2,427,179,387,180,41.8,36,8.4,5.3
Nimmo, Brandon,607043,293,10.5,33.4,110.9,89.5,94.1,87.5,449,159,397,123,42.0,19,6.5,3.6
Villar, Jonathan,542340,331,2.7,27.2,110.9,87.2,91.9,84.9,430,134,399,119,36.0,17,5.1,3.3
Almonte, Abraham,501659,100,6.3,27.0,110.9,87.2,90.0,87.3,426,152,409,37,37.0,8,8.0,5.3
Thames, Eric,519346,150,19.3,34.7,110.8,91.0,94.9,85.5,416,207,396,65,43.3,25,16.7,9.0
Goodwin, Brian,571718,104,11.3,35.6,110.8,87.7,92.0,84.1,416,172,408,39,37.5,9,8.7,5.0
Taylor, Michael A.,572191,239,6.2,27.2,110.8,86.5,93.1,82.0,425,153,392,81,33.9,15,6.3,3.9
Heyward, Jason,518792,384,9.4,29.7,110.8,88.1,91.2,88.3,423,163,395,148,38.5,11,2.9,2.2
Goodrum, Niko,592348,314,10.8,37.6,110.8,87.7,91.6,84.4,418,176,387,111,35.4,25,8.0,5.1
Zimmerman, Ryan,475582,235,7.1,28.9,110.8,92.6,97.8,89.0,443,164,406,124,52.8,32,13.6,9.9
Robinson, Drew,592685,52,13.2,44.2,110.8,87.3,94.6,79.4,420,177,406,19,36.5,5,9.6,4.0
Gurriel Jr., Lourdes,666971,193,10.3,35.2,110.7,90.2,92.5,88.0,450,179,396,87,45.1,15,7.8,5.7
Smoak, Justin,475253,352,14.9,36.9,110.7,89.5,94.4,84.6,419,186,389,146,41.5,38,10.8,6.4
Muncy, Max,571970,266,17.8,38.0,110.6,90.1,94.9,84.6,445,206,399,122,45.9,45,16.9,9.4
Rondon, Jose,602922,70,12.7,30.0,110.6,84.9,90.7,80.8,422,163,380,25,35.7,8,11.4,7.5
Betts, Mookie,605141,434,18.3,39.4,110.6,92.2,95.8,88.6,452,207,400,217,50.0,61,14.1,9.9
Adames, Willy,642715,196,8.6,32.1,110.6,86.5,91.9,83.0,434,154,406,58,29.6,13,6.6,4.0
Flowers, Tyler,452095,176,12.9,37.5,110.5,90.0,91.7,89.1,448,186,400,78,44.3,12,6.8,4.1
Seager, Kyle,572122,449,18.4,37.0,110.5,89.7,92.6,87.3,424,197,385,178,39.6,25,5.6,4.0
Naquin, Tyler,571980,133,5.6,33.8,110.5,89.0,91.4,87.4,418,155,410,51,38.3,6,4.5,3.3
Happ, Ian,664023,222,14.1,39.2,110.5,90.0,93.4,87.8,437,193,400,90,40.5,27,12.2,5.8
Rodriguez, Sean,446481,90,19.3,32.2,110.5,87.6,93.0,82.7,422,200,396,26,28.9,7,7.8,4.0
DeJong, Paul,657557,318,19.1,37.7,110.4,89.3,93.4,85.6,464,205,398,128,40.3,29,9.1,5.9
Longoria, Evan,446334,384,13.6,32.6,110.4,88.5,93.0,85.7,435,177,399,142,37.0,29,7.6,5.7
Blackmon, Charlie,453568,495,11.8,34.9,110.4,87.2,91.2,83.7,447,173,407,174,35.2,32,6.5,4.6
Hernandez, Enrique,571771,333,15.5,29.7,110.4,88.3,92.7,85.9,431,178,401,121,36.3,25,7.5,5.4
Andujar, Miguel,609280,480,12.3,34.6,110.4,89.2,92.7,87.8,428,169,389,175,36.5,30,6.3,5.0
Verdugo, Alex,657077,64,3.4,20.3,110.4,87.5,89.6,88.1,404,129,404,19,29.7,3,4.7,3.5
Castellanos, Nicholas,592206,472,15.2,45.3,110.3,89.6,93.6,84.9,426,198,384,191,40.5,53,11.2,7.8
Lagares, Juan,501571,51,5.0,25.5,110.3,87.5,87.9,89.3,328,119,,16,31.4,0,0.0,0.0
Thompson, Trayce,572204,80,18.0,22.5,110.3,85.1,91.2,81.8,431,175,404,26,32.5,4,5.0,2.9
Sanchez, Yolmer,570560,467,8.5,35.1,110.3,85.6,91.2,82.1,449,157,405,130,27.8,14,3.0,2.1
Refsnyder, Rob,608701,58,12.6,32.8,110.2,88.2,89.8,88.2,401,166,391,19,32.8,4,6.9,3.9
Ramirez, Jose,608070,504,18.8,34.7,110.2,88.9,92.4,86.6,434,196,388,175,34.7,43,8.5,6.2
Holliday, Matt,407812,35,12.8,28.6,110.2,90.9,93.0,90.2,448,176,420,17,48.6,2,5.7,3.1
Kiermaier, Kevin,595281,245,6.3,26.1,110.2,84.5,90.7,81.5,416,143,394,71,29.0,11,4.5,3.0
Nunez, Eduardo,456488,415,9.2,27.2,110.2,88.2,90.4,89.4,411,148,383,148,35.7,14,3.4,2.8
Bryant, Kris,592178,285,17.7,38.2,110.2,85.8,91.3,78.8,448,186,406,96,33.7,27,9.5,5.9
Cervelli, Francisco,465041,254,15.7,35.8,110.2,88.4,93.6,83.7,428,183,383,101,39.8,21,8.3,5.2
McMahon, Ryan,641857,118,7.1,34.7,110.1,88.9,91.7,86.1,438,166,413,52,44.1,6,5.1,3.0
Avila, Alex,488671,106,8.6,34.9,110.1,89.7,97.6,82.6,421,175,401,48,45.3,13,12.3,5.6
Stassi, Max,545358,147,5.8,28.6,110.1,90.0,99.0,84.0,466,148,405,67,45.6,13,8.8,5.2
Gonzalez, Marwin,503556,370,10.0,35.7,110.1,87.4,93.4,81.7,422,175,395,153,41.4,25,6.8,4.5
Mercer, Jordy,474568,311,13.0,41.2,110.1,87.4,90.6,85.1,443,174,401,97,31.2,15,4.8,3.4
Greiner, Grayson,606988,67,10.7,38.8,110.1,87.9,93.2,85.2,408,183,,24,35.8,5,7.5,4.3
Wendle, Joey,621563,403,10.3,31.8,110.1,88.4,91.7,86.7,420,165,400,142,35.2,11,2.7,2.0
Gardner, Brett,458731,432,8.4,30.6,110.1,87.3,91.7,85.0,426,156,385,142,32.9,12,2.8,2.0
Bauers, Jake,641343,227,11.3,33.9,110.0,86.8,93.1,81.8,420,171,397,71,31.3,16,7.0,4.1
